,loan_status,annual_inc,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,open_acc,revol_bal,revol_util,total_acc
133423,Fully Paid,125000.0,20.81,0.0,675.0,679.0,0.0,24.0,15.0,23337.0,58.9,23.0
557225,Late (31-120 days),23500.0,23.95,0.0,665.0,669.0,0.0,33.0,5.0,4009.0,35.5,11.0
80694,Current,63000.0,8.72,0.0,745.0,749.0,1.0,,6.0,3045.0,20.7,10.0
651321,Fully Paid,40000.0,31.09,1.0,680.0,684.0,1.0,13.0,14.0,24950.0,53.8,26.0
150555,Current,90000.0,19.72,1.0,705.0,709.0,3.0,5.0,12.0,12729.0,23.2,26.0
250451,Fully Paid,120000.0,10.53,0.0,660.0,664.0,3.0,42.0,8.0,5901.0,59.6,34.0
294712,Fully Paid,225000.0,9.03,0.0,665.0,669.0,4.0,,10.0,542.0,6.8,30.0
315908,Fully Paid,94000.0,15.33,0.0,660.0,664.0,3.0,66.0,12.0,6125.0,49.0,30.0
649396,Current,80000.0,22.29,0.0,695.0,699.0,1.0,,19.0,29645.0,82.3,36.0
1028995,Fully Paid,46000.0,29.32,2.0,665.0,669.0,1.0,18.0,8.0,4287.0,80.9,16.0
913180,Current,33000.0,15.78,0.0,670.0,674.0,1.0,,6.0,6925.0,45.0,8.0
380890,Fully Paid,61000.0,26.72,0.0,725.0,729.0,1.0,,15.0,35240.0,49.6,22.0
886029,Current,46000.0,10.49,1.0,675.0,679.0,1.0,20.0,10.0,6772.0,34.7,13.0
531207,Charged Off,65000.0,11.65,1.0,685.0,689.0,0.0,2.0,8.0,6286.0,31.9,22.0
877688,Current,90000.0,17.81,0.0,685.0,689.0,0.0,,13.0,10372.0,71.5,40.0
811745,Current,55000.0,22.39,0.0,685.0,689.0,0.0,27.0,6.0,10437.0,67.8,9.0
977643,Fully Paid,200000.0,31.93,1.0,680.0,684.0,0.0,14.0,11.0,23676.0,59.6,38.0
361778,Fully Paid,26000.0,14.77,0.0,705.0,709.0,1.0,,10.0,12991.0,43.3,22.0
432768,Charged Off,36000.0,24.93,0.0,670.0,674.0,0.0,25.0,24.0,5096.0,38.3,32.0
238424,Fully Paid,150000.0,23.42,1.0,680.0,684.0,0.0,8.0,27.0,26414.0,49.0,42.0
983694,Fully Paid,55000.0,12.5,0.0,690.0,694.0,0.0,,5.0,5626.0,58.6,8.0
744285,Fully Paid,95000.0,17.53,2.0,700.0,704.0,3.0,16.0,21.0,7909.0,19.0,33.0
26260,Current,80000.0,21.98,0.0,710.0,714.0,0.0,,6.0,12439.0,68.0,24.0
499874,Current,65000.0,4.73,0.0,695.0,699.0,0.0,,7.0,6421.0,60.6,9.0
702039,Fully Paid,70000.0,13.54,1.0,660.0,664.0,0.0,3.0,11.0,7155.0,68.8,19.0
342047,Charged Off,25000.0,26.4,0.0,675.0,679.0,0.0,,8.0,15818.0,69.4,11.0
422343,Current,59000.0,5.9,0.0,720.0,724.0,0.0,73.0,8.0,1860.0,10.3,18.0
985522,Charged Off,54000.0,19.6,0.0,660.0,664.0,0.0,48.0,14.0,23720.0,91.2,23.0
788505,Fully Paid,36000.0,20.87,0.0,745.0,749.0,0.0,,6.0,12893.0,47.2,15.0
1030599,Charged Off,40000.0,38.13,0.0,675.0,679.0,0.0,51.0,12.0,18117.0,67.9,17.0
762190,Current,150000.0,22.98,0.0,700.0,704.0,1.0,58.0,28.0,16452.0,41.4,49.0
177915,Fully Paid,119000.0,17.78,0.0,680.0,684.0,4.0,,38.0,18560.0,22.2,51.0
859721,Current,67900.0,21.44,0.0,730.0,734.0,0.0,,13.0,26272.0,52.9,26.0
977375,Fully Paid,110000.0,23.27,1.0,695.0,699.0,0.0,14.0,17.0,37691.0,47.1,29.0
272659,Charged Off,61200.0,18.22,0.0,675.0,679.0,1.0,60.0,16.0,8904.0,44.4,48.0
686609,Fully Paid,135000.0,25.12,0.0,710.0,714.0,1.0,,7.0,53122.0,79.1,17.0
589103,Charged Off,37000.0,28.06,0.0,695.0,699.0,1.0,,11.0,6185.0,15.7,11.0
730422,Current,26882.0,30.85,0.0,765.0,769.0,1.0,,10.0,2521.0,20.3,12.0
986768,Fully Paid,84000.0,32.37,0.0,720.0,724.0,1.0,,13.0,51211.0,89.2,28.0
648375,Fully Paid,61729.0,33.01,1.0,695.0,699.0,0.0,12.0,18.0,13006.0,40.9,43.0
754216,Current,48744.0,30.06,0.0,735.0,739.0,0.0,,13.0,9783.0,34.0,26.0
637546,Current,85000.0,19.12,0.0,730.0,734.0,0.0,,20.0,11326.0,21.4,30.0
705140,Current,36000.0,21.07,0.0,660.0,664.0,0.0,,7.0,12382.0,70.0,15.0
373048,Fully Paid,40000.0,22.5,1.0,660.0,664.0,3.0,7.0,8.0,6204.0,40.3,20.0
399450,Fully Paid,39000.0,14.58,1.0,695.0,699.0,1.0,12.0,10.0,260.0,1.6,17.0
853580,Current,25000.0,9.6,0.0,750.0,754.0,0.0,,6.0,1133.0,7.1,15.0
625253,Current,72000.0,19.25,0.0,705.0,709.0,0.0,,9.0,40741.0,74.6,14.0
240408,Fully Paid,34000.0,5.68,0.0,680.0,684.0,0.0,,7.0,4455.0,82.5,13.0
845048,Current,65000.0,34.38,0.0,710.0,714.0,1.0,,10.0,1933.0,28.4,14.0
179888,Fully Paid,65000.0,17.49,4.0,665.0,669.0,0.0,14.0,16.0,6959.0,34.8,55.0
125283,Current,80000.0,17.15,0.0,665.0,669.0,0.0,64.0,7.0,8044.0,84.7,19.0
656864,Fully Paid,57801.0,14.12,0.0,665.0,669.0,0.0,,8.0,4771.0,22.7,20.0
424196,Current,39000.0,2.43,0.0,715.0,719.0,0.0,,4.0,992.0,39.7,5.0
860400,Current,75000.0,44.16,0.0,690.0,694.0,0.0,,11.0,40468.0,81.1,21.0
443528,Late (31-120 days),42000.0,36.15,0.0,780.0,784.0,1.0,,12.0,21132.0,23.1,32.0
272407,Fully Paid,63000.0,2.21,0.0,705.0,709.0,3.0,,2.0,3764.0,78.4,5.0
614990,Current,126000.0,10.33,0.0,705.0,709.0,0.0,,13.0,42630.0,36.7,25.0
1026793,Fully Paid,54000.0,30.19,1.0,660.0,664.0,1.0,6.0,11.0,10558.0,67.7,20.0
673466,Current,120000.0,27.69,0.0,715.0,719.0,0.0,56.0,9.0,23510.0,43.1,26.0
412341,Charged Off,130000.0,23.27,1.0,660.0,664.0,0.0,5.0,14.0,12580.0,38.4,57.0
672849,Current,62400.0,16.31,0.0,730.0,734.0,1.0,,10.0,11687.0,80.6,11.0
496388,Current,35000.0,20.51,0.0,730.0,734.0,0.0,45.0,14.0,2367.0,8.3,20.0
522805,Current,80000.0,22.05,0.0,735.0,739.0,1.0,,14.0,13046.0,22.0,19.0
733662,Fully Paid,45000.0,2.21,0.0,705.0,709.0,0.0,,4.0,837.0,2.8,18.0
504730,Fully Paid,93000.0,5.28,0.0,700.0,704.0,0.0,47.0,7.0,5917.0,27.9,7.0
790067,Current,54440.0,42.53,0.0,695.0,699.0,0.0,,20.0,93635.0,37.5,31.0
925336,Fully Paid,490000.0,5.29,0.0,765.0,769.0,0.0,,13.0,73044.0,18.4,56.0
409092,Fully Paid,48000.0,10.21,0.0,665.0,669.0,0.0,,7.0,10623.0,95.7,9.0
351947,Late (31-120 days),90000.0,11.56,0.0,760.0,764.0,0.0,,11.0,5843.0,22.3,18.0
692117,Current,110000.0,23.11,1.0,675.0,679.0,0.0,22.0,12.0,12666.0,72.0,43.0
799240,Current,130000.0,6.65,0.0,675.0,679.0,0.0,,7.0,27080.0,89.7,22.0
674383,Fully Paid,120000.0,4.24,0.0,710.0,714.0,0.0,37.0,7.0,1055.0,4.1,23.0
637705,Current,56000.0,13.55,0.0,740.0,744.0,0.0,24.0,20.0,1063.0,6.1,27.0
221743,Current,24000.0,17.95,0.0,740.0,744.0,0.0,,8.0,6379.0,37.1,9.0
606119,Fully Paid,60000.0,8.4,0.0,665.0,669.0,1.0,26.0,9.0,1770.0,16.4,29.0
593584,Current,118000.0,4.08,0.0,665.0,669.0,0.0,,7.0,3552.0,53.8,34.0
157290,Charged Off,70000.0,19.44,0.0,660.0,664.0,3.0,41.0,11.0,13173.0,82.3,32.0
109533,Fully Paid,140000.0,17.14,0.0,665.0,669.0,3.0,,14.0,12226.0,64.7,43.0
498153,Current,53500.0,24.52,1.0,680.0,684.0,1.0,5.0,9.0,60757.0,62.9,14.0
913887,Current,46000.0,12.91,0.0,665.0,669.0,0.0,,6.0,5120.0,69.2,14.0
57197,Fully Paid,53114.0,31.99,0.0,670.0,674.0,0.0,,13.0,6383.0,76.0,20.0
